Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:9060:1010,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:4400:1020,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:9770:1020,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Comamonas sp.,FS10000603:2:BPC29607-1927:1:1101:14490:1020,MF526875.1,98.000,150,3,0,1,150,149,298,5.24e-66,261
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5890:1030,LR594895.1,100.000,151,0,0,1,151,1,151,1.46e-71,279
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:10060:1030,LC498102.1,98.675,151,2,0,1,151,226,376,3.16e-68,268
Chryseobacterium hominis,FS10000603:2:BPC29607-1927:1:1101:11540:1030,MN220589.1,98.675,151,2,0,1,151,290,440,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13100:1030,MK789925.1,96.454,141,5,0,1,141,327,467,1.05e-57,233
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:5740:1040,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,98.013,151,3,0,1,151,1732356,1732206,1.47e-66,263
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,98.013,151,3,0,1,151,1892016,1891866,1.47e-66,263
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,98.013,151,3,0,1,151,2894119,2894269,1.47e-66,263
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,97.351,151,4,0,1,151,1317035,1316885,6.83e-65,257
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,97.351,151,4,0,1,151,1738916,1738766,6.83e-65,257
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,97.351,151,4,0,1,151,1885509,1885359,6.83e-65,257
Chryseobacterium sp. G0162,FS10000603:2:BPC29607-1927:1:1101:7560:1040,CP033922.1,97.351,151,4,0,1,151,2651166,2651316,6.83e-65,257
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:10280:1040,KU921572.1,98.649,148,2,0,1,148,318,465,1.43e-66,263
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:10140:1050,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:11540:1060,MF439448.1,97.333,150,4,0,1,150,1,150,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:5280:1070,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Pseudomonas sp. DB48,FS10000603:2:BPC29607-1927:1:1101:7750:1070,JN975167.1,99.338,151,0,1,1,151,277,426,2.44e-69,272
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:7870:1070,MH312030.1,99.338,151,1,0,1,151,284,434,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:12480:1080,LC336045.1,100.000,150,0,0,1,150,3,152,5.20e-71,278
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:9960:1090,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:9530:1100,KU921572.1,98.649,148,2,0,1,148,318,465,1.43e-66,263
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:12050:1100,LT978406.1,98.026,152,2,1,1,151,276,427,1.47e-66,263
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:13560:1110,CP038808.1,100.000,149,0,0,1,149,15495,15643,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:13560:1110,CP038808.1,100.000,149,0,0,1,149,1696836,1696688,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:13560:1110,CP038808.1,100.000,149,0,0,1,149,1794386,1794238,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:13560:1110,CP038808.1,100.000,149,0,0,1,149,1856311,1856163,1.85e-70,276
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:15780:1110,MN383162.1,97.333,150,4,0,1,150,321,470,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:10080:1120,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:12190:1130,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Massilia agilis,FS10000603:2:BPC29607-1927:1:1101:14860:1130,MN204223.1,96.667,150,5,0,1,150,314,463,1.13e-62,250
bacterium MJ19,FS10000603:2:BPC29607-1927:1:1101:7930:1140,KM232697.1,98.667,150,2,0,1,150,332,481,1.13e-67,267
uncultured Pseudomonas sp.,FS10000603:2:BPC29607-1927:1:1101:13570:1140,MN383112.1,99.338,151,1,0,1,151,308,458,6.79e-70,274
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:5260:1150,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:7570:1150,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:10570:1150,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6010:1160,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6940:1160,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:7290:1160,MK318776.1,100.000,151,0,0,1,151,305,455,1.46e-71,279
Chryseobacterium hominis,FS10000603:2:BPC29607-1927:1:1101:7470:1160,MN220589.1,98.675,151,2,0,1,151,290,440,3.16e-68,268
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:8010:1160,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6000:1170,LT978406.1,98.026,152,2,1,1,151,276,427,1.47e-66,263
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:6800:1170,LC498102.1,97.351,151,4,0,1,151,226,376,6.83e-65,257
Enterobacter cloacae,FS10000603:2:BPC29607-1927:1:1101:14420:1170,AF406657.1,98.013,151,3,0,1,151,332,482,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14770:1170,MF439234.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14780:1170,MF439234.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:10000:1190,LT978406.1,98.658,149,2,0,1,149,276,424,4.05e-67,265
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6910:1210,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Chryseobacterium hominis,FS10000603:2:BPC29607-1927:1:1101:9210:1210,MN220589.1,98.675,151,2,0,1,151,290,440,3.16e-68,268
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:4620:1220,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:5660:1220,MN094038.1,98.675,151,2,0,1,151,2,152,3.16e-68,268
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:7050:1220,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:4650:1230,KU921572.1,97.333,150,4,0,1,150,318,467,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:5900:1230,LT978406.1,98.026,152,2,1,1,151,276,427,1.47e-66,263
Flavobacterium sp.,FS10000603:2:BPC29607-1927:1:1101:1150:1240,MN309693.1,98.013,151,3,0,1,151,243,393,1.47e-66,263
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:9490:1240,KU921572.1,97.297,148,4,0,1,148,318,465,3.10e-63,252
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6290:1260,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:6490:1260,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:12510:1260,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6250:1280,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:7940:1280,MN393973.1,100.000,150,0,0,1,150,267,416,5.20e-71,278
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:8380:1280,LT978406.1,98.026,152,2,1,1,151,276,427,1.47e-66,263
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:13860:1280,LC498102.1,98.675,151,2,0,1,151,226,376,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8910:1290,LR595029.1,100.000,151,0,0,1,151,1,151,1.46e-71,279
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:12920:1290,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:4540:1300,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:7470:1300,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:11360:1300,LT978406.1,97.333,150,4,0,1,150,276,425,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6160:1310,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:10970:1320,MN393916.1,100.000,151,0,0,1,151,242,392,1.46e-71,279
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,126760,126910,1.48e-61,246
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,163027,163177,1.48e-61,246
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,419682,419832,1.48e-61,246
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,1170145,1170295,1.48e-61,246
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,3242142,3241992,1.48e-61,246
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,3676673,3676523,1.48e-61,246
Proteus mirabilis,FS10000603:2:BPC29607-1927:1:1101:6490:1330,CP043332.1,96.026,151,6,0,1,151,3994434,3994284,1.48e-61,246
Brevundimonas sp.,FS10000603:2:BPC29607-1927:1:1101:6810:1330,MK519106.1,98.013,151,3,0,1,151,251,401,1.47e-66,263
Stenotrophomonas maltophilia,FS10000603:2:BPC29607-1927:1:1101:7810:1330,MH719740.1,98.675,151,2,0,1,151,307,457,3.16e-68,268
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:13260:1330,LT978406.1,97.917,144,3,0,1,144,276,419,1.08e-62,250
Acinetobacter johnsonii,FS10000603:2:BPC29607-1927:1:1101:2240:1340,MN307299.1,99.333,150,1,0,1,150,310,459,2.42e-69,272
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:2490:1350,MN383147.1,98.013,151,3,0,1,151,214,364,1.47e-66,263
Massilia sp.,FS10000603:2:BPC29607-1927:1:1101:4570:1350,LC495775.1,97.973,148,3,0,1,148,257,404,6.66e-65,257
Pseudomonas oryzihabitans,FS10000603:2:BPC29607-1927:1:1101:9000:1350,MN094085.1,98.000,150,3,0,1,150,2,151,5.24e-66,261
bacterium,FS10000603:2:BPC29607-1927:1:1101:10830:1360,MH151243.1,99.333,150,1,0,1,150,311,460,2.42e-69,272
Pseudomonas stutzeri,FS10000603:2:BPC29607-1927:1:1101:1370:1370,KC535006.1,98.026,152,1,1,1,150,113,264,1.46e-66,263
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:2390:1390,LT978406.1,98.675,151,1,1,1,150,276,426,1.13e-67,267
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:13160:1390,MN393973.1,98.000,150,3,0,1,150,267,416,5.24e-66,261
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:9960:1400,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Moraxella osloensis,FS10000603:2:BPC29607-1927:1:1101:8220:1410,MK465385.1,99.324,148,1,0,1,148,271,418,3.08e-68,268
Stenotrophomonas sp.,FS10000603:2:BPC29607-1927:1:1101:4620:1420,MN368549.1,99.338,151,1,0,1,151,290,440,6.79e-70,274
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:1750:1430,MN393973.1,100.000,151,0,0,1,151,267,417,1.46e-71,279
Moraxella osloensis,FS10000603:2:BPC29607-1927:1:1101:8150:1430,MK465385.1,99.324,148,1,0,1,148,271,418,3.08e-68,268
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:11120:1430,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
Phytobacter diazotrophicus,FS10000603:2:BPC29607-1927:1:1101:5430:1440,MK855129.1,98.667,150,2,0,1,150,312,461,1.13e-67,267
Chryseobacterium hominis,FS10000603:2:BPC29607-1927:1:1101:6200:1440,MN220589.1,98.675,151,2,0,1,151,290,440,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7210:1440,MF439448.1,100.000,151,0,0,1,151,1,151,1.46e-71,279
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:1280:1450,MN383147.1,98.675,151,2,0,1,151,214,364,3.16e-68,268
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:4010:1450,KU921572.1,99.324,148,1,0,1,148,318,465,3.08e-68,268
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:8530:1450,KU921572.1,98.649,148,2,0,1,148,318,465,1.43e-66,263
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6820:1460,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:11820:1460,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:1690:1480,KJ934370.1,97.351,151,4,0,1,151,327,477,6.83e-65,257
Pseudomonas psychrotolerans,FS10000603:2:BPC29607-1927:1:1101:4160:1480,MK465386.1,98.675,151,2,0,1,151,275,425,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:10330:1480,LR595665.1,98.675,151,2,0,1,151,1,151,3.16e-68,268
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:15320:1480,LT978406.1,97.333,150,4,0,1,150,276,425,2.44e-64,255
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:4330:1490,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6330:1490,LC336355.1,99.338,151,1,0,1,151,3,153,6.79e-70,274
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:6620:1490,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:9520:1490,MN383147.1,98.675,151,2,0,1,151,214,364,3.16e-68,268
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:12120:1490,KY068328.1,98.026,152,1,2,1,150,113,264,1.46e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14570:1500,LR595652.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:2210:1520,LR594987.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6060:1520,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Micrococcus sp.,FS10000603:2:BPC29607-1927:1:1101:3720:1530,MH734603.1,99.338,151,1,0,1,151,1,151,6.79e-70,274
Delftia acidovorans,FS10000603:2:BPC29607-1927:1:1101:10130:1530,MN173541.1,99.333,150,1,0,1,150,329,478,2.42e-69,272
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,98.667,150,2,0,1,150,530511,530362,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,98.667,150,2,0,1,150,2761127,2761276,1.13e-67,267
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,97.333,150,4,0,1,150,236803,236654,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,97.333,150,4,0,1,150,798737,798588,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,97.333,150,4,0,1,150,1088851,1088702,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,97.333,150,4,0,1,150,1137387,1137536,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6880:1540,AP018824.1,97.333,150,4,0,1,150,1656643,1656792,2.44e-64,255
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:8630:1540,LT978406.1,98.667,150,2,0,1,150,276,425,1.13e-67,267
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:2580:1550,LC498102.1,98.675,151,2,0,1,151,226,376,3.16e-68,268
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:13310:1550,KY068328.1,98.026,152,1,2,1,150,113,264,1.46e-66,263
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:8530:1560,LC498102.1,98.675,151,2,0,1,151,226,376,3.16e-68,268
Pseudomonas psychrotolerans,FS10000603:2:BPC29607-1927:1:1101:6390:1570,MK465386.1,98.675,151,2,0,1,151,275,425,3.16e-68,268
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:7690:1570,MN383147.1,98.675,151,2,0,1,151,214,364,3.16e-68,268
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:8410:1570,KU921572.1,98.649,148,2,0,1,148,318,465,1.43e-66,263
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:8680:1570,LC498102.1,98.013,151,3,0,1,151,226,376,1.47e-66,263
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:9350:1570,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
Enterobacter tabaci,FS10000603:2:BPC29607-1927:1:1101:8280:1580,MN177190.1,98.667,150,2,0,1,150,286,435,1.13e-67,267
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:16060:1580,KU921572.1,97.973,148,3,0,1,148,318,465,6.66e-65,257
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:11660:1590,LC498102.1,99.338,151,1,0,1,151,226,376,6.79e-70,274
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:13580:1590,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Enterobacter kobei,FS10000603:2:BPC29607-1927:1:1101:4030:1600,MK970646.1,98.667,150,2,0,1,150,286,435,1.13e-67,267
Comamonas sp.,FS10000603:2:BPC29607-1927:1:1101:10200:1600,MF526875.1,98.667,150,2,0,1,150,149,298,1.13e-67,267
Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:15640:1600,LC498102.1,99.333,150,1,0,1,150,226,375,2.42e-69,272
Massilia timonae,FS10000603:2:BPC29607-1927:1:1101:3160:1610,KU921572.1,99.324,148,1,0,1,148,318,465,3.08e-68,268
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:6340:1620,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:2290:1630,LT978406.1,98.000,150,3,0,1,150,276,425,5.24e-66,261
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:2720:1630,LT978406.1,98.026,152,2,1,1,151,276,427,1.47e-66,263
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:7760:1630,MN383147.1,98.675,151,2,0,1,151,214,364,3.16e-68,268
uncultured Enterobacter sp.,FS10000603:2:BPC29607-1927:1:1101:2240:1640,MN383147.1,98.000,150,3,0,1,150,214,363,5.24e-66,261
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:5450:1640,LT978406.1,99.333,150,1,0,1,150,276,425,2.42e-69,272
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:15180:1650,LT978406.1,97.333,150,4,0,1,150,276,425,2.44e-64,255
Massilia sp.,FS10000603:2:BPC29607-1927:1:1101:3250:1660,LC495775.1,100.000,148,0,0,1,148,257,404,6.61e-70,274
Acinetobacter ursingii,FS10000603:2:BPC29607-1927:1:1101:14350:1660,LT978406.1,100.000,150,0,0,1,150,276,425,5.20e-71,278
